0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
down,0,2028.1294999999989,530,2187.576499999999,1915,2137.2627499999994,2500,2029.5994999999994,-50,1200.1324999999997,520,1521.2055000000005,1970,1483.7642500000002,2570,1290.3839999999998,50,1001.76675,540,1120.90025,1860,1096.3674999999996,2430,1023.7612499999999
open,0,2011.9922499999993,520,2147.6927499999993,1900,2117.577749999999,2290,2058.4589999999994,50,1241.677,520,1336.5,1700,1307.69325,2320,1230.2637499999998,70,998.92875,550,1034.6332499999996,1590,1048.311,2150,1008.6364999999998
down,0,2027.5682499999991,500,2172.6037499999998,1870,2145.9434999999994,2150,2102.6977499999994,-50,1208.8899999999999,470,1531.0297500000001,2040,1498.5847500000004,2570,1311.6962499999997,20,988.6757500000002,490,1118.3495,1920,1103.724,2510,1024.3877499999999
open,0,2031.4604999999992,520,2167.3577499999997,560,2171.385999999999,815,2160.2112499999994,90,1256.6072499999998,520,1353.28175,560,1354.0162500000001,820,1329.23375,120,1003.3117499999996,560,1036.05325,560,1036.05325,810,1025.3502500000002
down,0,2037.6399999999996,490,2163.323,1820,2145.4162499999998,2170,2070.8367499999995,-40,1201.3910000000003,460,1534.2142500000004,1850,1515.0742500000001,2460,1308.09375,0,983.1710000000002,460,1112.6570000000002,1760,1102.84775,2360,1022.2907499999998
open,0,2032.7422499999993,440,2136.982249999999,2360,2105.56175,2560,2079.4125,20,1257.0742500000001,460,1339.6025,2290,1279.9357499999999,2880,1222.74475,100,1001.5809999999997,380,1021.2379999999997,2410,1002.8407499999998,2590,994.2339999999999
down,0,2017.5647499999998,540,2161.00225,1995,2112.650749999999,2535,2039.3879999999997,-15,1205.9742499999998,475,1528.02325,2015,1504.25875,2595,1307.099,15,975.2435000000002,605,1104.2584999999997,1975,1093.106,2475,1022.0489999999995
open,0,2015.197499999999,440,2137.9564999999993,2120,2072.3634999999995,2320,2044.730749999999,10,1249.5102499999996,440,1312.7065000000002,1960,1252.5720000000001,2320,1225.9599999999998,5,999.47675,440,1009.8542499999999,2040,988.5575000000001,2320,983.8925
down,0,2008.593749999999,490,2156.30025,1820,2121.5692499999996,2465,2037.1309999999994,-20,1206.6372499999998,490,1539.8039999999996,1870,1516.8415,2550,1295.5545,20,976.3522500000001,490,1101.91475,1770,1100.2752499999997,2380,1020.8844999999998
down,0,2009.0727499999994,410,2086.2945,1940,2031.9234999999996,2470,1999.4952499999993,-80,1206.1070000000002,450,1496.8787500000003,1950,1458.3242500000001,2540,1285.579,0,977.2359999999999,480,1076.9632499999998,1930,1057.50225,2400,1003.6162499999998
