0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
down,0,1944.0565,730,2100.8739999999993,940,2101.9787499999993,1340,2082.1612499999997,160,1122.9229999999998,790,1451.94675,970,1452.9465,1340,1360.2869999999998,230,949.8970000000002,840,1063.1035000000002,910,1063.9315,1340,1008.8190000000002
up,0,1978.6679999999992,570,2195.20925,1990,2152.298999999999,2510,2039.5647499999993,140,1206.7972499999996,610,1254.0910000000001,1890,1227.1160000000002,2090,1214.67275,20,970.9299999999996,610,1110.434,1920,1087.1862499999997,2460,1000.5689999999998
down,0,2008.5522499999995,490,2227.8624999999993,2050,2124.895749999999,2450,2054.0774999999994,20,1190.6047499999997,490,1618.8967499999999,1980,1572.0987499999999,2690,1336.7782499999998,60,987.637,500,1200.8135000000002,1890,1134.9154999999996,2520,1032.8709999999999
up,0,2002.9412499999992,590,2266.4542500000002,1950,2211.2652500000004,2370,2076.202749999999,25,1283.8865,360,1298.2307500000002,1930,1269.8992499999995,2410,1249.9805000000001,50,1000.1954999999998,580,1145.3587499999999,1910,1116.8119999999997,2450,1015.0845000000002
down,0,2027.347249999999,540,2206.701999999999,2090,2140.0864999999994,2410,2085.2897500000004,0,1232.7147500000003,540,1574.9367499999998,2120,1545.2587500000004,2850,1319.27025,80,993.6175,540,1126.1864999999996,1910,1116.8117499999998,2670,1023.8889999999997
up,0,2014.2542499999995,470,2247.9615,2300,2196.9244999999996,2820,2083.9992499999994,-25,1274.3132499999992,480,1291.452,2260,1256.90975,2815,1239.098,-50,1001.22225,490,1128.84175,2220,1099.33725,2810,1014.4117500000001
down,0,2036.5242499999993,440,2202.376249999999,2250,2112.8947499999995,2590,2060.3579999999993,-20,1227.30625,470,1593.2759999999998,2190,1546.8674999999996,2850,1334.21875,0,995.099,470,1178.0072499999999,2110,1127.9577499999998,2820,1030.2475
up,0,2016.3302499999993,490,2235.7835000000005,2150,2202.4945,2830,2071.839,260,1291.6390000000001,495,1305.5210000000004,2150,1272.99275,2860,1247.4685000000002,-10,1007.1752499999999,500,1123.7489999999998,2150,1098.48875,2890,1013.6054999999999
down,0,2030.4684999999993,500,2174.7694999999994,1840,2135.7524999999996,2240,2061.8185,-40,1226.00125,490,1574.4632500000005,1910,1547.054,2730,1308.65525,30,994.5214999999997,490,1168.89475,1840,1142.6897500000002,2470,1028.6467499999997
up,0,2006.697749999999,540,2221.2715000000003,2440,2156.412999999999,2650,2112.7257499999996,5,1276.8762499999998,290,1283.3062499999999,2420,1252.5602500000002,2745,1244.98975,10,1003.8622500000002,540,1112.4489999999998,2400,1075.433,2840,1014.4665000000001
down,0,2023.7632499999993,470,2188.3102499999995,1910,2095.8425,2320,2046.6059999999993,-30,1224.0822500000002,470,1584.57275,1940,1529.4292500000001,2630,1320.811,10,990.8437500000002,470,1171.178,1880,1122.0860000000005,2630,1019.0297499999999
