0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
up,0,1984.3882499999993,520,2212.8594999999996,1870,2164.7634999999996,2380,2045.6139999999991,60,1148.933,490,1212.0234999999998,1890,1183.3582499999995,2410,1163.2945,30,961.9995000000001,490,1088.6029999999998,1910,1062.395,2440,983.83475
open,0,1991.7027499999995,510,2122.5714999999996,1135,2093.105,1375,2073.1629999999996,30,1153.8719999999998,560,1284.3174999999999,870,1272.0057499999998,1550,1231.39225,15,968.6307499999999,535,1015.629,1002,1000.5754999999999,1462,984.48125
up,0,1971.4667499999994,530,2185.2537499999994,2090,2114.9444999999996,2500,2017.5434999999993,70,1154.84825,530,1206.1134999999997,2035,1176.4442499999996,2515,1158.19175,0,957.3807499999999,520,1076.76825,1980,1047.6364999999996,2530,977.8257500000001
open,0,1971.7274999999993,500,2090.033999999999,2150,2052.4599999999996,2630,1984.2954999999997,10,1144.7894999999996,590,1277.0157499999998,2030,1241.58975,2600,1175.9510000000002,170,961.7727500000001,570,1005.99025,2030,983.8822500000001,2310,971.3374999999999
up,0,1970.9214999999995,510,2183.2332499999998,2290,2117.9272499999993,2690,2019.9122499999996,-5,1157.08225,505,1203.0647500000002,2230,1178.8705,2685,1160.9867500000003,-10,956.9785,500,1072.718,2170,1050.3294999999998,2680,977.6704999999996
open,0,1970.3074999999997,440,2090.1469999999995,1870,2067.0487499999995,2060,2048.3507499999996,10,1147.975,480,1286.8139999999999,1880,1260.75225,2660,1178.7347499999996,0,956.68775,440,1002.2094999999999,1900,992.0075000000003,2240,972.2784999999998
up,0,1957.7907499999994,550,2161.94625,2020,2123.72225,2450,2015.3202499999993,120,1161.9617500000004,560,1205.1125,2170,1171.9030000000005,2340,1163.3204999999998,-50,949.6409999999998,550,1066.3584999999996,2010,1043.5575,2520,974.3815000000003
up,0,1952.0535,540,2213.0885,1990,2161.747999999999,2480,2029.703499999999,100,1154.29475,540,1219.62925,1990,1189.3857500000001,2200,1176.35275,-10,947.0875,540,1089.9935,1940,1064.8287500000004,2520,980.1037499999999
open,0,1993.78525,440,2160.2099999999996,1860,2093.181249999999,2180,2038.0697499999987,10,1146.0315,500,1304.3812500000001,1710,1271.156,2350,1184.5919999999999,20,965.0499999999998,500,1029.30775,1810,995.4182500000003,2040,982.6355000000002
up,0,1975.2250000000001,510,2206.313749999999,2040,2177.575749999999,2570,2031.752749999999,80,1159.03275,510,1219.3532500000003,2030,1192.055,2400,1169.2379999999998,0,956.9720000000003,500,1088.12675,2060,1066.0889999999997,2570,982.2557499999999
