0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
open,0,1847.4987500000002,410,1929.9174999999996,1850,1915.359,2030,1898.6882500000002,-30,1124.6549999999995,610,1285.7044999999998,1820,1236.8419999999999,2390,1163.0457499999998,-60,930.1775,580,982.6489999999999,1835,963.902,2100,953.9374999999999
open,0,1841.2550000000003,420,1948.4402499999997,2430,1903.9355000000003,2630,1878.9857500000003,40,1136.2714999999996,570,1222.1177500000001,2090,1217.7772500000003,2620,1151.2492499999998,40,940.92175,590,983.1234999999999,2060,978.05425,2540,956.237
open,0,1863.3034999999995,270,1911.7585,1780,1910.5364999999997,2070,1880.90375,-100,1129.0392500000003,470,1242.5600000000004,1740,1219.63625,2360,1147.008,30,942.6137499999998,430,975.7752499999999,1740,962.3930000000003,2020,949.5964999999999
open,0,1848.4455000000003,400,1922.9467499999996,2420,1899.0107499999995,2730,1868.6712500000006,0,1131.4987499999997,530,1229.607,2180,1201.7505000000003,2810,1144.2435,110,939.7980000000001,520,972.8427499999997,2220,953.82275,2360,949.9987499999999
open,0,1850.2002500000006,420,1928.855,1880,1910.3777499999994,2040,1894.7147500000003,-60,1126.4732499999996,540,1245.8882500000002,1820,1221.2525,2390,1150.7005,70,938.1664999999999,540,978.0475,1820,966.6179999999999,2220,944.2084999999997
open,0,1836.2105000000001,460,1920.533,2200,1895.1625,2360,1882.2685000000004,60,1129.7157499999996,590,1225.2659999999998,1980,1208.0935,2480,1150.00875,150,936.9062499999998,580,965.62525,2090,954.1122500000001,2420,949.4775
open,0,1839.9520000000005,500,1925.0272499999999,2030,1900.9802499999998,2240,1873.1007500000005,-10,1119.69775,570,1234.5929999999996,1920,1221.1282499999998,2480,1147.3525,20,928.7822500000001,550,966.7919999999999,1840,969.763,2270,947.7147499999999
open,0,1833.6387500000003,470,1919.3277499999997,2160,1890.84725,2380,1863.387,40,1127.4277499999998,630,1242.3342499999999,1970,1213.9135,2530,1145.14375,70,934.2664999999997,620,970.3287499999999,2130,956.6305000000004,2290,949.7734999999998
open,0,1838.8865000000003,400,1900.8739999999998,2170,1878.8610000000003,2360,1860.3034999999998,50,1128.3094999999994,570,1227.6627500000002,1930,1204.38,2360,1148.0575000000001,40,931.917,570,962.6100000000004,2050,946.3019999999998,2330,937.4140000000001
open,0,1833.8262500000008,460,1919.03925,1950,1900.8199999999997,2310,1860.1652500000007,-10,1121.7169999999999,500,1221.8612500000002,1910,1214.4979999999998,2480,1139.98075,-10,928.5025,350,951.1177499999999,2030,955.3902499999996,2270,939.74475
